Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,St. Vincent and the Grenadines,VCT,0.750567526,1.360869888,2.032423445,1.828150966,2.33340711,1.924278691,2.021109488,2.015795067,2.010067697,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sudan,SDN,0.202623461,0.159133714,0.345245386,0.330142237,0.300706838,0.309687395,0.299732598,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Suriname,SUR,4.299019172,4.664057042,4.539301232,3.371141244,4.187024361,3.85265791,4.056232637,3.082377853,3.076995794,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sweden,SWE,6.069368319,5.562430083,5.547348052,5.474957121,4.942300828,4.671420785,4.484611458,3.896324042,4.35875184,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Switzerland,CHE,6.345085168,5.442630894,5.002174211,4.699381907,4.733662496,4.998221364,4.357240126,4.30703579,4.117489823,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Syrian Arab Republic,SYR,3.001677865,3.11019717,2.883815863,2.69924891,2.188087381,1.860624448,1.640539063,1.627771232,1.651774073,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tajikistan,TJK,..,0.359837081,0.337110559,0.304888204,0.37206278,0.3612508,0.559858657,0.592079302,0.612889431,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tanzania,TZA,0.085695774,0.07914346,0.160252602,0.177194603,0.202862863,0.230538234,0.231426985,0.251220815,0.225684764,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Thailand,THA,1.604039776,2.743290186,3.852981518,3.7954794,4.025723762,4.214834224,4.105519506,4.138352218,4.114223358,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Timor-Leste,TLS,..,..,0.214616428,0.22071489,0.258924584,0.384729839,0.437168056,0.419943292,0.406011541,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Togo,TGO,0.205000805,0.276268469,0.410573777,0.375820713,0.355666909,0.36803288,0.362693064,0.360032243,0.399417466,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tonga,TON,0.810011676,0.973145663,1.1284596,0.991444738,1.035099331,1.117021068,1.125202914,1.200732281,1.269071421,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Trinidad and Tobago,TTO,13.94288585,18.81317173,36.08889453,35.12550948,33.77371196,34.3782943,33.96103108,33.75508491,31.84485149,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tunisia,TUN,1.60471646,2.052131516,2.600803611,2.422390866,2.489516274,2.526032939,2.605932406,2.705982827,2.64840154,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turkey,TUR,2.707520507,3.417941997,4.096888453,4.372357933,4.386124614,4.285926545,4.478823888,4.461231155,4.669466686,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turkmenistan,TKM,..,8.312217333,11.26147873,12.07311921,12.31475484,12.43590562,12.51776695,12.69909189,12.47358651,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Turks and Caicos Islands,TCA,2.422260755,3.455316405,5.613900796,5.493303772,5.38219926,5.384728341,5.59863157,5.707234374,5.91791351,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Tuvalu,TUV,0.822843038,0.780711092,0.69648623,0.68973949,1.024397057,1.013263332,1.002643092,0.991170376,0.980044543,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Uganda,UGA,0.044161904,0.060780277,0.120883274,0.127392876,0.118310285,0.123482382,0.129345873,0.139771241,0.143267095,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ukraine,UKR,..,6.525532256,6.641343749,6.265964231,6.487596829,5.976635541,5.046562571,4.34697596,4.493971404,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United Arab Emirates,ARE,28.44462414,35.91576427,18.55247271,19.18306458,24.04313711,23.99600159,24.54304265,21.02639249,22.04082852,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United Kingdom,GBR,9.710881678,9.199549233,7.84936515,7.073165082,7.351014938,7.109814294,6.497340931,6.220239615,5.776795985,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,United States,USA,19.32275118,20.17875051,17.4431109,16.91520177,16.19342933,16.36222413,16.41657591,15.98986626,15.50220398,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Uruguay,URY,1.284204308,1.598364749,1.901575191,2.304301301,2.573105623,2.238430313,1.984240835,1.963537904,1.975862788,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Uzbekistan,UZB,..,4.941815954,3.647048882,3.874800916,3.889733195,3.417442433,3.420722746,3.288582762,2.882785961,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Vanuatu,VUT,0.450328505,0.455966308,0.512300443,0.544036134,0.455621065,0.414374501,0.583633966,0.486895585,0.527000323,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Venezuela, RB",VEN,6.222407299,6.30041799,6.693449564,5.931888263,6.540353293,6.176024158,6.161191593,5.714223427,5.500712738,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Vietnam,VNM,0.315413663,0.671308552,1.622618922,1.712240646,1.588281536,1.622307629,1.824531973,2.032107552,2.057565917,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,West Bank and Gaza,PSE,0.435610196,0.568468181,0.537532609,0.57890268,0.552814348,0.598167688,0.680083232,0.704186233,0.740606555,..,..,..
